,index,_score,a_pc,address,am,asdi,b_level,brightness,cID,city,core,d_name,event_data.display_cord.x,event_data.display_cord.y,event_data.gyroscop_cord.x,event_data.gyroscop_cord.y,event_data.gyroscop_cord.z,fc_available,fm,im,lat,loc_info.lat,loc_info.long,loc_info.pin,long,memory,model,n_accessories,orientation,pID,pc_usage,pin,pm,res,s_name,sc,sc_available,state,usm,volume,wifi_add,wifi_ip,wm,sr_height,sr_width
0,0,0.0,6,0.0,29.146729,0.0,50.0,100.0,1,0.0,6,741,0.0,0.0,0.0,0.0,0.0,0.0,1.149089,28.341064,0.0,0.0,0.0,0.0,0.0,3840.0,759,0,0.0,23,82.30001,0.0,0.69987,0.0,43,384,0.0,0.0,4.12556,-3.74,0.0,0.0,18.960775,896,414
1,1,0.0,6,0.0,28.40332,0.0,50.0,100.0,1,0.0,6,741,0.0,0.0,0.0,0.0,0.0,0.0,0.812988,27.890218,0.0,0.0,0.0,0.0,0.0,3840.0,759,0,0.0,23,44.0,0.0,0.38208,0.0,43,384,0.0,0.0,6.196859,-3.74,0.0,0.0,20.155843,896,414
2,2,0.0,6,0.0,29.146729,0.0,50.0,100.0,1,0.0,6,741,0.0,0.0,0.0,0.0,0.0,0.0,1.149089,28.341064,0.0,0.0,0.0,0.0,0.0,3840.0,759,0,0.0,23,82.30001,0.0,0.69987,0.0,43,384,0.0,0.0,4.12556,-3.74,0.0,0.0,18.960775,896,414
3,3,0.0,6,0.0,25.973307,0.0,38.0,70.0,1,0.0,6,741,272.5,719.5,-0.3066,-0.9284,0.2888,0.0,2.566732,23.720703,0.0,0.0,0.0,0.0,0.0,3840.0,741,0,0.0,22,10779756416.0,0.0,0.683187,0.0,43,382,0.0,0.0,71.119792,0.0,0.0,0.0,21.437581,896,414
4,4,0.0,6,0.0,25.973307,0.0,38.0,70.0,1,0.0,6,741,0.0,0.0,0.0,0.0,0.0,0.0,2.566732,23.720703,0.0,0.0,0.0,0.0,0.0,3840.0,741,0,0.0,22,10779756416.0,0.0,0.683187,0.0,43,382,0.0,0.0,71.119792,0.0,0.0,0.0,21.437581,896,414
5,5,0.0,6,0.0,25.973307,0.0,38.0,70.0,1,0.0,6,741,298.0,653.5,-0.3437,-0.9538,0.1653,0.0,2.566732,23.720703,0.0,0.0,0.0,0.0,0.0,3840.0,741,0,0.0,22,10779756416.0,0.0,0.683187,0.0,43,382,0.0,0.0,71.119792,0.0,0.0,0.0,21.437581,896,414
6,6,0.0,6,0.0,25.973307,0.0,38.0,70.0,1,0.0,6,741,0.0,0.0,0.0,0.0,0.0,0.0,2.566732,23.720703,0.0,0.0,0.0,0.0,0.0,3840.0,741,0,0.0,22,10779756416.0,0.0,0.683187,0.0,43,382,0.0,0.0,71.119792,0.0,0.0,0.0,21.437581,896,414
7,7,0.0,6,0.0,25.973307,0.0,38.0,70.0,1,0.0,6,741,0.0,0.0,0.0,0.0,0.0,0.0,2.566732,23.720703,0.0,0.0,0.0,0.0,0.0,3840.0,741,0,0.0,22,10779756416.0,0.0,0.683187,0.0,43,382,0.0,0.0,71.119792,0.0,0.0,0.0,21.437581,896,414
8,8,0.0,6,0.0,25.973307,0.0,38.0,70.0,1,0.0,6,741,0.0,0.0,0.0,0.0,0.0,0.0,2.566732,23.720703,0.0,0.0,0.0,0.0,0.0,3840.0,741,0,0.0,22,10779756416.0,0.0,0.683187,0.0,43,382,0.0,0.0,71.119792,0.0,0.0,0.0,21.437581,896,414
9,9,0.0,6,0.0,25.973307,0.0,38.0,70.0,1,0.0,6,741,0.0,0.0,0.0,0.0,0.0,0.0,2.566732,23.720703,0.0,0.0,0.0,0.0,0.0,3840.0,741,0,0.0,22,10779756416.0,0.0,0.683187,0.0,43,382,0.0,0.0,71.119792,0.0,0.0,0.0,21.437581,896,414
